x, y, u, v, p, 
0.122428, 0.56, -0.014486, 0.0075212, 0.0784481, 
0.0935601, 0.55, -0.0113083, 0.00507835, 0.0820323, 
0.197483, 0.59, -0.0177602, 0.0118128, 0.0651563, 
0.988453, 0.72, 0.187068, 0.0024802, -0.0694056, 
0.988453, 0.66, 0.182691, 0.0050385, -0.0706024, 
0.953812, 0.38, 0.373574, 0.0359317, -0.0635548, 
0.988453, 0.64, 0.179123, 0.00579022, -0.0707873, 
0.440277, 0.0502009, 0.0648386, -0.0111133, 0.00892752, 
0.803701, 0.76, 0.693189, 0.0166695, -0.0609526, 
0.988453, 0.62, 0.174948, 0.00649925, -0.070864, 
0.128201, 0.57, -0.0152256, 0.00863605, 0.0778081, 
0.595855, 0.54, 0.117813, -0.00734372, -0.029101, 
0.988453, 0.28, 0.0724375, 0.0125379, -0.0584162, 
0.988453, 0.26, 0.0656513, 0.0122359, -0.0571998, 
0.88453, 0.84, 0.906467, 0.00646291, -0.0631113, 
0.699796, 0.0600423, 0.0901774, 0.000875636, -0.0275112, 
0.971132, 0.45, 0.305522, 0.0241116, -0.0671785, 
0.988453, 0.7, 0.186977, 0.0033848, -0.0699102, 
0.959585, 0.35, 0.30572, 0.0337043, -0.0620805, 
0.919171, 0.38, 0.512222, 0.0419162, -0.0623166, 
0.976906, 0.32, 0.167474, 0.0224574, -0.0606862, 
0.959585, 0.57, 0.509742, 0.023866, -0.0702003, 
0.682457, 0.11, 0.138562, -0.00302733, -0.026611, 
0.71741, 0.0501137, 0.0782692, 0.00221665, -0.029253, 
0.717098, 0.110001, 0.144712, 0.00117983, -0.0307769, 
0.988453, 0.44, 0.125842, 0.0115247, -0.0669717, 
0.959585, 0.55, 0.493018, 0.0250968, -0.0698964, 
0.711325, 0.12, 0.152754, -0.00011086, -0.0304381, 
0.976906, 0.44, 0.243594, 0.0205468, -0.0668538, 
0.924944, 0.41, 0.537747, 0.0407112, -0.0640678, 
0.174389, 0.57, -0.01718, 0.00992447, 0.0696533, 
0.0533424, 0.52012, -0.00600294, 0.000338229, 0.0846756, 
0.699781, 0.080011, 0.11265, 0.000401216, -0.0279162, 
0.976906, 0.34, 0.180672, 0.0224846, -0.0618392, 
0.907624, 0.38, 0.528547, 0.0405005, -0.0617638, 
0.145522, 0.58, -0.0167386, 0.0101721, 0.0751456, 
0.959585, 0.33, 0.284828, 0.0337846, -0.0609465, 
0.20903, 0.61, -0.0182034, 0.013473, 0.0627059, 
0.0590567, 0.530017, -0.00680074, 0.0013366, 0.0846778, 
0.249445, 0.58, -0.0138154, 0.0101624, 0.0533258, 
0.994256, 0.0500513, -0.000671662, 0.00178189, -0.0469551, 
0.214804, 0.62, -0.0179303, 0.0142437, 0.0613918, 
0.105107, 0.25, 0.00870011, -0.0186952, 0.0617176, 
0.439982, 0.0700569, 0.0789179, -0.0151946, 0.00894254, 
0.959585, 0.37, 0.326304, 0.0334048, -0.0631715, 
0.139748, 0.57, -0.0161135, 0.00910816, 0.0759404, 
0.76906, 0.12, 0.164968, 0.0085345, -0.0367491, 
